55722 18
95559 31
49626 16
17058 5
47392 16
11543 3
29732 9
96405 32
49194 16
7072 2
15280 4
103193 35
94700 31
94597 31
95192 31
94740 31
49339 16
57569 18
7509 2
56205 18
85416 26
93983 31
44828 15
85115 26
85286 26
93497 31
6041 2
33572 11
94628 31
59680 18
18620 5
84163 26
15403 4
94952 31
95214 31
84952 26
69862 22
84818 26
45090 15
48215 16
18690 5
58720 18
56417 18
33885 11
65759 21
57161 18
95175 31
56157 18
54455 17
79628 25
95379 31
57935 18
56759 18
84950 26
97893 32
95596 31
85447 26
96664 32
17878 5
98058 32
94319 31
6670 2
95604 31
95061 31
95010 31
94221 31
75526 24
71251 22
15166 4
95139 31
85498 26
95691 31
59421 18
27524 9
93449 31
85368 26
94672 31
57189 18
94611 31
56539 18
95507 31
56229 18
93692 31
24811 7
95141 31
11033 3
94781 31
93355 31
15621 4
84376 26
59371 18
14777 4
94705 31
17369 5
85139 26
95364 31
84987 26
56613 18
58459 18
28866 9
84951 26
90019 29
49674 16
48163 16
49727 16
85131 26
82914 26
95743 31
48023 16
103314 35
95739 31
70820 22
49654 16
59681 18
82264 26
11735 3
84546 26
85059 26
96190 32
42214 15
84113 26
95377 31
95549 31
84332 26
95043 31
6238 2
94753 31
98371 32
57737 18
95235 31
49337 16
5303 2
95039 31
94767 31
96307 32
84685 26
95289 31
54764 17
70432 22
83947 26
84832 26
74686 24
85517 26
5087 2
94823 31
50779 16
95647 31
50203 16
84814 26
95280 31
2707 1
59057 18
7480 2
97052 32
2183 1
5878 2
17950 5
15142 4
85419 26
103727 35
57214 18
6282 2
59541 18
95412 31
85359 26
95723 31
85299 26
85301 26
4271 2
28025 9
49072 16
95163 31
83946 26
85061 26
59469 18
94339 31
4963 2
94150 31
82966 26
49843 16
6978 2
85497 26
85491 26
5447 2
5638 2
71806 22
83755 26
69767 22
95703 31
57209 18
94734 31
84141 26
105403 35
18064 5
104345 35
54692 17
19148 5
56538 18
95173 31
95001 31
17850 5
48760 16
56156 18
18766 5
48815 16
49845 16
84045 26
11228 3
94756 31
94991 31
30882 10
95313 31
94147 31
55940 18
95290 31
85239 26
94408 31
97817 32
71201 22
15785 4
54667 17
18425 5
47348 16
2711 1
3090 1
48188 16
95376 31
95355 31
103940 35
96882 32
95530 31
71085 22
46367 16
50106 16
18163 5
30092 9
95660 31
95257 31
29589 9
103823 35
49697 16
94707 31
83374 26
95246 31
56900 18
59037 18
57809 18
95520 31
95454 31
105237 35
71586 22
58529 18
18020 5
85104 26
84043 26
95260 31
103364 35
38225 14
95553 31
44080 15
28986 9
15643 4
70894 22
18910 5
64029 20
95051 31
96376 32
6640 2
5585 2
95074 31
85521 26
95232 31
42022 15
17973 5
70319 22
1481 1
1456 1
56566 18
85495 26
42352 15
55867 18
95575 31
42982 15
14825 4
104561 35
95648 31
17998 5
94100 31
53515 17
94269 31
84622 26
103317 35
50010 16
95640 31
90042 29
50969 16
105575 35
94372 31
95070 31
43748 15
10097 3
85215 26
13674 4
103601 35
84906 26
95148 31
94860 31
94840 31
1365 1
57786 18
95721 31
101827 34
15023 4
42785 15
96401 32
83252 26
14275 4
85000 26
104944 35
95087 31
57019 18
71975 22
94409 31
44998 15
95041 31
96403 32
48065 16
91433 30
18596 5
15933 4
95340 31
71303 22
84891 26
69935 22
44514 15
95076 31
